UNIQUE_KEY,PROBLEM_DETAIL,PROBLEM_CATEGORY,CREATED_DATE,CLOSED_DATE,STATUS,DAYS_TO_CLOSE,BOROUGH,COMMUNITY_BOARD,INCIDENT_ADDRESS,STREET_NAME,INCIDENT_ZIP,ADDRESS_TYPE,LATITUDE,LONGITUDE,RESOLUTION_DESCRIPTION,OPEN_DATA_CHANNEL_TYPE,RESOLUTION_UPDATED_AT
44222889,Street Light Out,Street Light Condition,2019-11-03 05:04:00,2020-05-11 13:03:00.000,Closed,190,QUEENS,13 QUEENS,,,11434,INTERSECTION,40.66564451235,-73.77895161346,Location Type: Intersection,UNKNOWN,2019-11-04 10:45:00.000
44210972,Street Light Out,Street Light Condition,2019-11-02 22:03:00,2019-11-04 10:16:00.000,Closed,2,QUEENS,13 QUEENS,178-027 145 RD,145 RD,11434,INTERSECTION,40.66544195851,-73.76672549624,Location Type: Intersection,UNKNOWN,2019-11-04 10:16:00.000
44213022,Street Light Out,Street Light Condition,2019-11-02 20:57:00,2019-11-04 09:54:00.000,Closed,2,QUEENS,12 QUEENS,15607 113 AVE,113 AVE,11433,INTERSECTION,40.68840730079,-73.79086195113,Location Type: Intersection,UNKNOWN,2019-11-04 09:54:00.000
44212073,Street Light Out,Street Light Condition,2019-11-02 20:50:00,2019-11-04 10:42:00.000,Closed,2,QUEENS,11 QUEENS,58-43 246 CRESCENT,246 CRESCENT,11362,ADDRESS,40.75839788767,-73.73326717005,Location Type: Residential Address,UNKNOWN,2019-11-04 10:42:00.000
44214187,Street Light Out,Street Light Condition,2019-11-02 20:17:00,2019-11-04 09:34:00.000,Closed,2,QUEENS,10 QUEENS,15506 102 ST,102 ST,11414,INTERSECTION,40.66515471779,-73.83364908624,Location Type: Intersection,UNKNOWN,2019-11-04 09:34:00.000
44212078,Street Light Out,Street Light Condition,2019-11-02 19:01:00,2019-11-07 11:48:00.000,Closed,5,QUEENS,04 QUEENS,41-07 103 STREET,103 STREET,11368,INTERSECTION,40.74783493181,-73.86243049754,Location Type: Intersection,UNKNOWN,2019-11-07 11:48:00.000
44215485,Street Light Out,Street Light Condition,2019-11-02 18:41:00,2019-11-15 13:41:00.000,Closed,13,QUEENS,13 QUEENS,,,11429,INTERSECTION,40.70333809069,-73.73815447683,Location Type: Intersection,UNKNOWN,2019-11-15 13:41:00.000
44210980,Street Light Out,Street Light Condition,2019-11-02 18:34:00,2019-11-04 09:54:00.000,Closed,2,QUEENS,12 QUEENS,11129 146 ST,146 ST,11436,INTERSECTION,40.68535826068,-73.79722470464,Location Type: Intersection,UNKNOWN,2019-11-04 09:54:00.000
44210973,Street Light Out,Street Light Condition,2019-11-02 16:00:00,2019-11-04 09:32:00.000,Closed,2,QUEENS,10 QUEENS,107-015 118 ST,118 ST,11420,INTERSECTION,40.68199463581,-73.82307185059,Location Type: Intersection,UNKNOWN,2019-11-04 09:32:00.000
44215655,Street Light Out,Street Light Condition,2019-11-02 14:11:00,2019-11-04 09:56:00.000,Closed,2,QUEENS,Unspecified QUEENS,138-004 107 AVE,107 AVE,11435,INTERSECTION,40.68886566739,-73.80818666711,Location Type: Intersection,UNKNOWN,2019-11-04 09:56:00.000
44212935,Lamppost Wire Exposed,Street Light Condition,2019-11-02 13:25:00,2019-11-04 10:18:00.000,Closed,2,QUEENS,12 QUEENS,116-010 MARSDEN ST,MARSDEN ST,11434,INTERSECTION,40.68539361616,-73.78058802415,Location Type: Intersection,UNKNOWN,2019-11-04 10:18:00.000
44214188,Street Light Out,Street Light Condition,2019-11-02 10:15:00,2019-11-04 10:40:00.000,Closed,2,QUEENS,06 QUEENS,63-55 ELLWELL CRESCENT,ELLWELL CRESCENT,11374,ADDRESS,40.72291273612,-73.86491353001,Location Type: Residential Address,UNKNOWN,2019-11-04 10:40:00.000
44213688,Street Light Out,Street Light Condition,2019-11-02 09:30:00,2019-11-04 09:36:00.000,Closed,2,QUEENS,13 QUEENS,,,11426,INTERSECTION,40.73456882565,-73.71421670164,Location Type: Intersection,UNKNOWN,2019-11-04 09:36:00.000
44210105,Street Light Out,Street Light Condition,2019-11-02 06:09:00,2019-11-08 10:41:00.000,Closed,6,QUEENS,11 QUEENS,193-14 47 AVENUE,47 AVENUE,11358,INTERSECTION,40.75184709843,-73.78786199031,Location Type: Intersection,UNKNOWN,2019-11-08 10:41:00.000
44216325,Street Light Out,Street Light Condition,2019-11-02 01:36:00,2019-11-04 09:33:00.000,Closed,2,QUEENS,09 QUEENS,,,11416,INTERSECTION,40.69022488292,-73.83898461642,Location Type: Intersection,UNKNOWN,2019-11-04 09:33:00.000
44204931,Street Light Out,Street Light Condition,2019-11-01 20:45:00,2019-11-05 11:36:00.000,Closed,4,QUEENS,10 QUEENS,162-30 98 STREET,98 STREET,11414,INTERSECTION,40.65315162354,-73.83354567025,Location Type: Intersection,UNKNOWN,2019-11-05 11:36:00.000
44202488,Street Light Out,Street Light Condition,2019-11-01 20:07:00,2019-12-11 12:29:00.000,Closed,40,QUEENS,12 QUEENS,145-015 107 AVE,107 AVE,11435,INTERSECTION,40.69114100652,-73.80487343632,Location Type: Intersection,UNKNOWN,2019-12-11 12:29:00.000
44200478,Street Light Out,Street Light Condition,2019-11-01 19:54:00,2019-11-04 09:49:00.000,Closed,3,QUEENS,07 QUEENS,,,11355,INTERSECTION,40.75180150171,-73.81731013381,Location Type: Intersection,UNKNOWN,2019-11-04 09:49:00.000
44207026,Street Light Out,Street Light Condition,2019-11-01 19:48:00,2019-11-04 09:53:00.000,Closed,3,QUEENS,12 QUEENS,,,11433,INTERSECTION,40.69373261445,-73.78810459327,Location Type: Intersection,UNKNOWN,2019-11-04 09:53:00.000
44200858,Street Light Out,Street Light Condition,2019-11-01 19:22:00,2019-12-04 12:18:00.000,Closed,33,QUEENS,10 QUEENS,,,11414,INTERSECTION,40.66378578762,-73.84395416157,Location Type: Intersection,UNKNOWN,2019-12-04 12:18:00.000
44207018,Street Light Out,Street Light Condition,2019-11-01 18:17:00,2019-11-04 10:11:00.000,Closed,3,QUEENS,08 QUEENS,,,11435,INTERSECTION,40.71059995970,-73.80889602946,Location Type: Intersection,UNKNOWN,2019-11-04 10:11:00.000
44208217,Street Light Out,Street Light Condition,2019-11-01 18:16:00,2019-11-04 10:41:00.000,Closed,3,QUEENS,08 QUEENS,,,11432,INTERSECTION,40.70935790757,-73.80804473916,Location Type: Intersection,UNKNOWN,2019-11-04 10:41:00.000
44204501,Street Light Out,Street Light Condition,2019-11-01 18:15:00,2019-11-05 09:56:00.000,Closed,4,QUEENS,08 QUEENS,,,11432,INTERSECTION,40.71147052002,-73.80917849296,Location Type: Intersection,UNKNOWN,2019-11-05 09:56:00.000
